,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output
89.83,64.68,51.88,42.03,42.36,38.44,35.97,36.86,36.97,38.1,39.57,40.77,43.47,44.64,44.71,45.82,46.27,46.43,46.57,46.12,45.95,45.86,45.1,44.36,43.41,42.14,40.59,39.08,37.3,36.26,32.9,31.36,29.12,26.82,24.85,23.2,21.89,21.08,20.11,19.49,19.03,18.37,17.66,17.07,17.24,16.97,16.78,16.71,16.69,16.53,16.53,16.49,16.73,17.36,17.46,17.54,17.16,16.15,16.06,17.07,17.95,18.37,18.35,18.17,17.89,17.64,17.68,18.01,18.8,19.96,21.47,23.47,26,29.37,34.06,40.04,46.88,53.17,58.2,61.85,64.3,65.86,66.9,67.68,68.28,68.67,68.97,69.17,69.4,69.59,69.75,69.88,69.95,70.07,70.23,70.38,70.46,70.59,70.74,70.82,70.79,70.8,70.68,70.57,70.44,70.38,70.2,70,69.87,69.74,69.21,68.46,67.28,65.51,63.68,62.29,62.77,65.08,67.15,68.56,69.78,70.6,hdpe
91.54,74.08,74.5,61.37,66.68,62.25,64.21,62.44,65.68,67.41,70.57,70.98,71.83,73.17,72.64,74.08,75.61,75.61,76.75,77.48,78.46,78.71,78.58,78.86,78.56,78.7,78.94,79.23,79.11,80.38,80.07,79.64,79.54,79.48,79.25,79.09,78.92,79.18,79.12,79.03,79.13,79.01,79,78.79,79.55,78.93,78.74,78.64,78.53,78.35,78.19,78.01,77.88,77.85,77.91,77.85,77.8,77.71,77.74,77.77,77.77,77.83,77.88,78.05,78.19,78.42,78.57,78.77,78.92,79.08,79.29,79.43,79.49,79.54,79.54,79.54,79.52,79.43,79.45,79.79,80.03,80.15,80.31,80.47,80.55,80.52,80.44,80.41,80.42,80.32,80.33,80.28,80.19,80.2,80.25,80.32,80.35,80.47,80.62,80.64,80.56,80.56,80.4,80.29,80.03,79.84,79.49,79.27,79.27,79.27,78.73,77.63,76.58,74.87,73.26,71.6,72.24,74.67,76.62,77.61,78.48,79.09,hdpe
90.63,69.33,69.86,58.52,61.73,59.3,60.21,57.02,57.92,59.78,61.44,62.62,62.54,63.36,62.85,63.33,64.1,63.69,64.73,64.34,64.65,65.35,64.77,65.02,64.59,63.8,63.83,63.27,63.08,64.36,63.62,63.16,62.65,62.29,62.08,61.61,61.54,61.97,61.5,61.32,61.28,60.94,60.96,60.76,61.44,60.83,60.54,60.4,60.23,59.95,59.76,59.46,59.36,59.55,59.44,59.5,59.56,59.6,59.85,60.13,60.5,61.01,61.64,62.52,63.51,64.56,65.59,66.63,67.64,68.54,69.36,70.07,70.53,70.97,71.28,71.46,71.56,71.62,71.84,72.52,73.1,73.37,73.67,73.88,74.02,74.08,74.08,74.14,74.19,74.08,74.14,74.07,73.94,73.97,74.09,74.17,74.28,74.41,74.58,74.65,74.65,74.58,74.39,74.15,73.88,73.61,73.22,72.76,72.56,72.49,71.74,70.05,68.44,65.46,62.66,60.51,61.44,65.09,68.12,70.32,71.89,72.57,hdpe
91.33,69.47,66.01,53.82,54.15,49.88,50.44,49.7,49.1,52.13,54.42,55.5,56.49,57.91,57.44,58.73,59.44,59.66,60.72,60.71,61.14,61.78,61.88,62.42,62.58,62.48,62.64,62.76,62.8,64.32,64.03,63.71,63.78,63.78,63.95,64.46,65.58,67.51,69.43,71.67,73.66,74.98,75.83,76.18,77.32,76.85,76.68,76.7,76.69,76.59,76.41,76.27,76.15,76.18,76.22,76.16,76.12,76.04,76.1,76.17,76.21,76.3,76.38,76.58,76.77,77.1,77.36,77.61,77.86,78.15,78.42,78.65,78.82,78.89,78.99,79.02,78.98,78.94,79.02,79.38,79.67,79.85,79.97,80.11,80.2,80.23,80.18,80.15,80.16,80.1,80.08,80.08,80.01,79.99,80.02,80.12,80.18,80.24,80.4,80.41,80.33,80.35,80.21,80.03,79.8,79.61,79.35,79.09,79.02,78.96,78.36,77.52,76.27,74.39,72.41,70.78,71.38,73.96,75.99,77.18,78.26,79.01,hdpe
90.47,67.03,66.99,54.79,56.92,53.19,51.06,51.44,51.05,54.23,56.15,57.07,57.1,60.35,59.41,60.31,60.39,61.13,62.95,61.46,61,61.88,61.36,61.67,61.09,60.08,59.79,59.22,59.02,60.94,58.77,57.88,57.07,56.62,56.25,55.73,55.6,55.88,55.7,55.7,55.45,55.15,55.13,55.08,57.11,55.97,55.7,55.82,56.02,55.94,55.92,56.21,56.59,57.2,57.43,57.54,57.13,56.27,56.94,58.68,60.13,61.19,61.94,62.7,63.44,64.09,64.79,65.31,65.85,66.31,66.7,66.96,67.3,67.56,67.71,67.77,67.9,67.82,67.91,68.25,68.54,68.72,68.8,68.91,69.05,69.04,69.11,69.09,69.1,69.08,69.15,69.15,69.2,69.18,69.27,69.4,69.44,69.44,69.55,69.61,69.63,69.54,69.48,69.34,69.31,69.14,68.98,68.73,68.71,68.6,68.1,67.44,66.23,64.61,63.25,62.36,63,65.22,66.7,67.97,68.98,69.73,hdpe
90.55,89.17,83.59,64.27,53.02,48.5,46.93,39.76,42.48,43.07,44.06,44.81,46.45,47.89,49.96,52.92,52.38,53.11,53.09,53.03,53.04,52.12,51.05,50.1,48.93,48.51,47.95,47.69,47.35,47.51,47.13,47.05,46.7,46.93,48.07,49.95,52.66,56.29,60.65,65.21,69.01,71.72,74.12,75.73,76.71,77.24,77.54,77.8,78.01,78,78,78.03,77.97,77.94,78.12,78.07,78.02,78.09,78.2,78.3,78.34,78.45,78.52,78.6,78.71,78.93,79.07,79.16,79.23,79.47,79.59,79.74,79.74,79.65,79.89,79.91,79.91,79.87,80.03,80.44,80.64,80.85,80.87,81,81.11,81.24,81.35,81.44,81.35,81.35,81.36,81.41,81.3,81.43,81.5,81.56,81.76,81.96,82.03,82.14,82.16,82.18,82.12,81.91,81.84,81.65,81.47,81.25,81.25,80.7,79.97,79.33,78.31,76.69,75.01,74.25,75.8,78.37,79.94,81.08,80.82,81.36,hdpe
93.34,88.63,87.92,69.06,56.16,62.41,59.79,54.97,57.66,57.39,60.24,63.8,66.27,67,68.72,68.75,70.36,71.65,71.96,72.67,72.96,73.73,73.91,74.51,75.06,75.4,75.83,76.04,75.76,76.61,76.16,75.8,75.6,75.58,75.56,75.59,75.57,75.84,75.79,75.9,75.98,75.93,76.11,76.13,76.78,76.27,76.21,76.25,76.3,76.13,76.08,76.1,76.08,76.15,76.25,76.25,76.36,76.56,76.77,77.01,77.15,77.31,77.39,77.5,77.71,77.97,78.11,78.23,78.32,78.55,78.72,78.83,78.97,78.88,79.01,78.94,78.9,78.85,79.01,79.38,79.6,79.81,79.89,79.98,80.04,80.08,80.24,80.23,80.18,80.13,80.07,80.05,79.96,80,80,80.03,80.09,80.18,80.26,80.43,80.43,80.47,80.46,80.33,80.17,79.98,79.65,79.42,79.31,79.08,78.23,77.23,76.22,74.63,72.92,71.99,73.26,75.89,78.04,79.14,79.35,79.53,hdpe
94.37,93.6,91.06,72.8,63.3,72.31,71.52,68.6,68.47,68.84,73.53,75.08,76.83,78.22,79.22,80.31,80.91,81.77,81.94,83,83.45,83.56,83.91,84.16,84.23,84.78,84.74,84.79,84.67,84.61,84.56,84.44,84.17,83.95,83.71,83.63,83.54,83.23,83.21,83.15,83.06,83.01,83.08,82.89,82.69,82.6,82.5,82.3,82.17,81.89,81.77,81.6,81.22,81.45,81.41,81.33,81.23,81.21,81.38,81.51,81.73,81.94,82.18,82.48,82.89,83.37,83.84,84.3,84.67,85.21,85.57,85.85,86.13,86.29,86.52,86.68,86.67,86.73,87.06,87.38,87.74,87.84,87.9,87.98,88.06,88.18,88.27,88.29,88.14,88.12,88.1,88.11,87.92,88.02,88.06,88.2,88.27,88.3,88.37,88.4,88.38,88.37,88.3,88.07,88.07,87.8,87.57,87.35,87.24,86.78,86.33,85.4,84.27,82.39,80.74,80.22,81.82,84.18,85.67,86.62,86.73,87.13,hdpe
93.69,76.65,52.57,45.85,48.6,44.9,44.21,40.14,40.91,39.67,40.93,41.59,42.21,43.2,42.14,42.73,42.51,42.02,41.59,41.39,40.56,39.92,39.04,38.07,37.01,35.71,34.75,34.1,33.7,35.42,34.31,33.24,32.44,31.89,31.59,31.69,32.58,34.05,36.21,38.47,39.99,40.96,41.92,42.56,44.55,44.02,43.58,43.65,43.81,43.92,43.89,44.19,44.5,44.8,45.06,45.26,45.7,46.29,46.92,47.57,48.33,49.16,49.98,51,52.14,53.15,54.35,55.2,56.21,57.08,57.94,58.41,58.8,59.15,59.63,60.07,60.61,60.93,61.2,61.4,61.84,62.32,62.7,62.76,62.93,62.93,63.14,63.16,63.38,63.67,63.73,63.84,63.86,63.88,63.89,64.02,64.33,64.66,64.85,65.02,64.99,64.86,64.76,64.41,64.17,64.03,63.95,63.87,62.92,61.46,59.65,58.3,58.52,58.96,59.35,59.69,60.3,61.42,62.99,64.42,65.78,65.8,pp
87.33,61.62,56.19,55.86,50.86,51.51,52.03,49.76,51.68,54.08,56,57,57.11,58.21,58.66,58,59.54,61.12,61.49,61.97,61.62,61.77,61.58,61.62,61.47,61.52,61.52,61.71,62.01,64.07,63.39,62.4,61.9,61.73,61.49,61.54,61.65,61.84,61.63,61.73,61.63,61.45,61.46,61.49,63.09,62.01,61.6,61.47,61.44,61.27,60.81,60.72,60.82,60.91,60.82,60.67,60.7,60.84,61.03,61.28,61.53,61.8,62.29,62.94,63.35,63.96,64.61,65.12,65.72,66.37,66.75,67.02,67.28,67.47,67.88,68.29,68.76,69.11,69.28,69.49,69.81,70.13,70.39,70.66,70.64,70.68,70.72,70.85,71.03,71.22,71.47,71.61,71.66,71.58,71.53,71.72,72.12,72.46,72.8,73.07,73.01,72.94,72.92,72.44,72.12,71.83,71.84,71.44,70.58,69.19,67.63,66.44,66.62,67.05,67.68,67.85,68.29,69.4,71.01,72.32,72.93,73.67,pp
74.24,47.69,36.31,32.42,26.56,26.26,24.97,23.85,22.47,22.23,22.56,22.53,21.53,21.49,20.99,19.91,19.37,19.21,17.17,15.94,15,13.53,12.64,11.69,10.85,10.33,9.32,8.9,8.39,8.24,7.35,6.99,6.55,6.33,5.91,5.7,5.59,5.43,5.27,5.16,5,5.01,4.87,4.99,5.32,5.24,5.21,5.34,5.45,5.69,5.89,6.18,6.5,7.16,7.29,7.77,8.34,9.07,10.09,11.27,12.8,14.59,16.71,19.11,21.61,24.35,27.02,29.56,32.02,34.23,36.24,37.83,39.16,40.28,41.46,42.62,43.57,44.35,45.12,45.77,46.2,46.66,47.09,47.48,47.83,48.07,48.38,48.6,48.92,49.19,49.54,49.92,50.1,50.34,50.6,50.82,51.17,51.6,52,52.33,52.51,52.68,52.81,52.77,53.01,53.1,53.32,53.36,53.24,52.88,52.44,52.24,52.82,53.23,53.36,53.7,54.17,54.95,55.37,56.22,57.32,57.76,pp
83.66,52.84,39.57,30.87,24.92,19.98,16.67,15.36,13.74,12.53,11.54,11.13,10.54,11.26,12.2,12.06,12.79,15.57,17.99,22.49,26.25,30.95,35.16,39.43,44.03,47.49,49.7,51.54,52.87,55.4,55.63,55.03,54.76,54.54,54.32,54.13,54.12,54.45,54.3,53.96,53.68,53.36,53.33,53.3,54.17,53.62,53.02,52.79,52.66,52.4,52.06,51.8,51.65,51.72,51.68,51.58,51.76,51.93,52.23,52.6,53.04,53.64,54.53,55.66,56.81,58.01,59.28,60.63,61.85,63.13,64.07,64.98,65.69,66.3,66.99,67.75,68.39,68.98,69.35,69.77,70.15,70.58,70.99,71.39,71.62,71.72,71.94,72.18,72.47,72.77,72.99,73.27,73.32,73.35,73.43,73.67,74.11,74.43,74.83,75.1,75.08,75.09,75.02,74.77,74.7,74.45,74.64,74.68,74.35,73.76,72.72,71.91,71.88,72.15,72.14,72.43,72.69,73.83,74.7,75.15,76.2,77.06,pp
77.81,46.85,33.71,27.15,20.13,16.91,14.14,13.38,12.15,11.07,10.73,10.51,10.05,10.51,10.75,11.33,13.02,15.22,18.16,21.85,24.45,26.71,28.05,29.45,29.45,29.13,28.52,27.83,26.63,26.03,23.45,22.26,20.41,18.58,16.99,15.37,13.77,12.21,10.75,9.24,7.89,6.86,5.87,5.3,5.2,4.9,4.83,4.62,4.57,4.5,4.57,4.54,4.52,4.83,4.77,4.79,4.98,5.32,5.71,6.06,6.4,6.65,7.01,7.36,7.58,7.69,7.56,7.39,7.21,7.09,7.24,7.41,7.84,8.3,8.85,9.52,10.14,10.68,11.03,11.18,11.1,11.05,11.06,11.4,11.76,12.53,13.39,14.65,16.04,17.57,19.44,21.47,23.64,25.86,28.37,31.09,33.83,36.79,39.74,42.69,45.18,47.79,49.98,51.9,53.75,55.33,56.91,58.31,59.22,60.04,60.5,60.73,61.83,62.45,63.16,63.47,64.09,65.49,66.74,67.68,68.95,69.4,pp
91.5,57.99,41.82,31.49,25.36,19.97,16.53,15.2,13.51,12.17,11.21,10.44,9.58,8.84,8.07,7.03,6.4,5.7,5.3,4.81,4.36,4.03,3.71,3.37,3.11,2.93,2.69,2.66,2.42,2.27,2.12,2.09,2.04,1.95,1.93,1.97,1.88,1.68,1.61,1.56,1.57,1.57,1.54,1.44,1.13,1.22,1.14,1.07,1.12,1.28,1.27,1.27,1.22,1.34,1.12,1.14,1.11,1.02,0.97,1.08,1.06,1.15,1.16,1.15,1.24,1.14,1.1,1.12,1.14,1.25,1.37,1.35,1.32,1.32,1.3,1.39,1.42,1.46,1.41,1.53,1.48,1.52,1.54,1.58,1.53,1.57,1.51,1.48,1.55,1.55,1.53,1.65,1.56,1.48,1.57,1.58,1.69,1.68,1.73,1.71,1.57,1.58,1.63,1.77,1.84,1.8,1.8,1.91,1.89,2.09,2.26,2.2,2.43,2.52,2.72,2.86,2.92,3.23,3.56,3.6,4.01,4.22,pp
